Fiery Foxxy	22049	14	1.669	1690901711	1.250	_1_0_1	5.4	0.057
Rockie Ro	12034	10	3.169	1690901663	2.500	_1_0_1	5.4	0.232
Scarlie	21043	12	2.039	1690900228	1.250	_1_0_1	5.4	0.409
Blazebeaky	21047	5	1.979	1690899703	1.000	_1_0_1	5.4	0.602
Peckeringo	21038	35	3.149	1690899181	1.000	_1_0_1	5.4	1.713
Skullie	14041	27	6.139	1690899145	2.714	_1_0_1	5.4	2.840
Antsie Pants	12022	29	3.289	1690898577	2.500	_1_0_1	5.4	0.346
Finley jnr fish	23008	9	1.789	1690894926	1.000	_1_0_1	5.4	0.421
Mini-Nana	22044	7	1.699	1690890579	1.000	_1_0_1	5.4	0.336
Tangelo pecko	21029	3	3.438	1690890504	1.250	_1_0_1	5.4	1.738
Rave darkbird	21007	11	3.789	1690884680	1.250	_1_0_1	5.4	2.071
Browy	21039	15	1.8	1690876582	1.250	_1_0_1	5.4	0.182
Finley jnr fish	13008	17	3.229	1690874015	2.500	_1_0_1	5.4	0.289
Rompy	24010	13	1.999	1690859287	1.250	_1_0_1	5.4	0.371
Bird face	11021	1	4.139	1690838268	2.571	_1_0_1	5.4	1.083
Nini White-birdie	11020	28	3.579	1690815763	2.500	_1_0_1	5.4	0.622
Fry	14005	23	3.799	1690815754	2.500	_1_0_1	5.4	0.831
Mini Victory bluebird	11009	26	4.799	1690815754	2.500	_1_0_1	5.4	1.781
Sealee	13005	16	6.999	1690815754	2.500	_1_0_1	5.4	3.871
Snowie flyer	11005	18	3.579	1690814594	2.600	_1_0_1	5.4	0.522
Jabber	13011	22	3.999	1690809120	2.500	_1_0_1	5.4	1.021
Rhinny	12014	6	3.679	1690764852	2.571	_1_0_1	5.4	0.646
Chompie	33031	2	3.396	1690532010	1.250	_1_0_1	5.4	1.698
Chompie	33031	110	3.499	1690092997	1.200	_1_0_1	5.4	1.846
Patchie	13044	1	3.609	1690899277	2.500	_4_1_1	5.4	0.650
Rickie Red flapperitto	11004	0	6.9	1690876690	2.000	_4_1_1	5.4	4.277
Metally Mo Fish	33021	83	1.768	1690865571	1.500	_4_1_1	5.4	-0.099
Metally Mo Fish	33021	36	1.768	1690861701	1.500	_4_1_1	5.4	-0.099
Metally Mo Fish	33021	41	1.779	1690820176	1.500	_4_1_1	5.4	-0.088
Metally Mo Fish	33021	117	1.877	1690790008	1.500	_4_1_1	5.4	0.005
Frankie Stein	34002	109	2.239	1690735676	1.500	_4_1_1	5.4	0.349
Frankie Stein	34002	93	2.239	1690732181	1.500	_4_1_1	5.4	0.349
Chompie	33031	107	2.499	1690546313	1.500	_4_1_1	5.4	0.596
Frankie Stein	34002	39	2.259	1690272033	1.500	_4_1_1	5.4	0.368
Pebbles Paw	12046	0	4.429	1690895190	2.300	_4_1_2	5.4	1.629
Bobby Binancowitz	12036	3	3.2	1690876750	2.300	_4_1_2	5.4	0.462
Cub Pooky	32013	47	1.379	1690824118	1.500	_4_1_2	5.4	-0.468
Cub Pooky	32013	50	1.379	1690820335	1.500	_4_1_2	5.4	-0.468
Cub Pooky	32013	46	1.488	1690814867	1.500	_4_1_2	5.4	-0.365
Ango the calf	32003	27	1.459	1690561973	1.500	_4_1_2	5.4	-0.392
Frostwingy	11048	5	4.559	1690898236	2.500	_5_8_1	5.4	1.553
Violetfangy	14049	1	5.419	1690895289	2.500	_5_8_1	5.4	2.370
Beaky	32041	20	2.219	1690891368	0.856	_5_8_1	5.4	0.974
Violetfangy	14049	4	5.449	1690890861	2.500	_5_8_1	5.4	2.398
Violetfangy	14049	2	5.479	1690887114	2.500	_5_8_1	5.4	2.427
Violetfangy	14049	0	5.5	1690876654	2.500	_5_8_1	5.4	2.447
Barny sea	33007	25	1.268	1690865709	0.856	_5_8_1	5.4	0.070
Flop	33017	23	2.088	1690864269	0.856	_5_8_1	5.4	0.849
Barny sea	33007	26	1.268	1690861839	0.856	_5_8_1	5.4	0.070
Metally Mo Fish	33021	29	1.779	1690823540	0.856	_5_8_1	5.4	0.556
Flamingy Flamingos	31014	39	2.259	1690819675	0.880	_5_8_1	5.4	0.988
Minnie Finn	23040	8	1.779	1690797526	1.300	_5_8_1	5.4	0.112
Quack	31011	37	2.299	1690689018	0.880	_5_8_1	5.4	1.026
Puck Finley	33029	32	1.499	1690650455	0.856	_5_8_1	5.4	0.290
Puck Finley	33029	33	1.499	1690650455	0.856	_5_8_1	5.4	0.290
Billie	31042	35	1.679	1690650455	0.880	_5_8_1	5.4	0.437
Chompie	23031	3	1.849	1690650413	1.250	_5_8_1	5.4	0.228
Merly	34017	86	3.279	1689093790	1.333	_5_8_1	5.4	1.504
Beaky	12041	42	4.359	1690898875	2.500	_6_7_1	5.4	1.363
Rockie Ro	12034	1	3.169	1690898326	2.500	_6_7_1	5.4	0.232
